tile_nsky,tile_nsky_goodfiber,tile_nsky_badfiber,tile_nlowp,tile_nverylowp,expid,tile_program,tile_ra,tile_dec,tile_days,tile_nsecondary,tile_nsecondary_lowpinit,tile_nsecondary_verylowpinit
625,54,571,308,262,1,dark,180.0,31.717,1068.6727546296297,514,95,90
659,62,597,125,116,1,dark,180.0,69.094,1068.6729861111112,941,26,17
668,70,598,120,119,1,dark,228.889,65.587,1068.6731944444443,981,20,19
659,48,611,127,125,1,dark,221.161,66.768,1068.6733912037037,968,27,25
673,53,620,119,117,1,dark,218.984,70.009,1068.673611111111,1015,19,17
671,59,612,113,111,1,dark,212.782,67.536,1068.6738078703704,909,14,12
695,72,623,119,118,1,dark,229.695,62.193,1068.6740046296297,970,19,18
667,50,617,133,130,1,dark,227.971,68.905,1068.674224537037,1102,33,30
658,63,595,125,122,1,dark,235.954,67.378,1068.6744328703703,1094,25,22
620,60,560,115,115,1,dark,226.718,72.223,1068.6746296296296,1176,15,15
674,57,617,126,126,1,dark,215.967,73.208,1068.674826388889,1150,28,28
684,59,625,132,128,1,dark,209.173,70.617,1068.675023148148,1015,32,28
662,49,613,122,122,1,dark,215.605,64.342,1068.6752199074074,1011,22,22
651,56,595,124,124,1,dark,207.907,64.837,1068.6754166666667,988,24,24
685,47,638,142,133,1,dark,211.107,61.699,1068.675613425926,795,22,19
696,72,624,127,123,1,dark,204.054,61.978,1068.6758217592592,930,27,23
660,56,604,123,120,1,dark,236.105,70.717,1068.6760185185185,1178,23,20
692,68,624,127,125,1,dark,244.045,68.811,1068.6762268518519,978,27,25
635,42,593,164,157,1,dark,242.893,65.505,1068.6764351851853,750,45,43
652,66,586,130,129,1,dark,250.735,66.492,1068.6766435185186,1016,30,29
628,49,579,137,133,1,dark,253.129,69.707,1068.6768518518518,1189,37,33
611,57,554,127,123,1,dark,260.944,67.921,1068.6770601851852,1458,27,23
641,61,580,166,137,1,dark,262.857,62.377,1068.6772569444445,919,32,22
650,62,588,138,126,1,dark,266.308,65.346,1068.677476851852,1251,29,21
704,74,630,126,125,1,dark,222.918,63.45,1068.6776851851853,947,28,27
662,62,600,126,125,1,dark,217.942,61.045,1068.6778819444444,936,25,24
669,61,608,152,143,1,dark,213.732,58.468,1068.6781018518518,791,36,34
