tile_nsky,tile_nsky_goodfiber,tile_nsky_badfiber,tile_nlowp,tile_nverylowp,expid,tile_program,tile_ra,tile_dec,tile_days,tile_nsecondary,tile_nsecondary_lowpinit,tile_nsecondary_verylowpinit
672,249,423,169,168,116289,bright,3.849,2.229,233.07359953703704,325,84,83
655,221,434,221,220,116290,bright,9.154,2.687,233.0779861111111,373,81,80
655,221,434,221,220,116291,bright,9.154,2.687,233.0779861111111,373,81,80
830,830,0,3456,0,116292,undefined,45.0,66.0,157.875,0,0,0
830,830,0,3456,0,116293,undefined,45.0,66.0,157.875,0,0,0
1449,757,692,3524,3524,116294,backup,39.555,0.323,219.1582523148148,0,0,0
770,75,695,4204,4204,116295,backup,0.0,31.717,233.13158564814816,0,0,0
707,247,460,152,152,116296,bright,31.294,-12.061,207.2198148148148,335,76,76
624,112,512,316,269,116297,dark,32.44,26.593,209.23224537037038,494,80,79
602,65,537,671,534,116298,dark,34.476,8.267,233.15487268518518,395,134,131
537,76,461,251,218,116299,dark,41.605,2.958,233.17693287037036,589,59,56
537,76,461,251,218,116300,dark,41.605,2.958,233.17693287037036,589,59,56
576,65,511,219,199,116301,dark,55.643,-2.044,233.2022685185185,480,45,45
576,65,511,219,199,116302,dark,55.643,-2.044,233.2022685185185,480,45,45
576,65,511,219,199,116303,dark,55.643,-2.044,233.2022685185185,480,45,45
547,81,466,244,211,116305,dark,117.579,16.754,233.25855324074075,463,50,49
578,98,480,288,253,116306,dark,121.912,12.351,233.26015046296297,442,64,63
578,98,480,288,253,116307,dark,121.912,12.351,233.26015046296297,442,64,63
565,72,493,195,160,116308,dark,131.598,3.807,233.30265046296296,589,46,27
565,72,493,195,160,116309,dark,131.598,3.807,233.30265046296296,589,46,27
565,72,493,195,160,116310,dark,131.598,3.807,233.30265046296296,589,46,27
687,8,679,4273,4273,116311,backup,123.517,-13.39,219.37788194444445,0,0,0
726,36,690,4237,4237,116322,backup,138.303,-11.893,218.43384259259258,0,0,0
641,127,514,43,43,116323,bright,146.569,5.031,233.38239583333333,322,41,41
718,181,537,55,55,116324,bright,148.588,7.698,233.39267361111112,335,50,50
576,53,523,130,124,116325,dark,157.109,-0.735,233.40186342592594,656,19,15
576,53,523,130,124,116326,dark,157.109,-0.735,233.40186342592594,656,19,15
601,65,536,180,161,116327,dark,159.066,-7.213,233.43087962962963,555,32,28
601,65,536,180,161,116328,dark,159.066,-7.213,233.43087962962963,555,32,28
595,55,540,149,137,116329,dark,166.267,-3.36,233.45680555555555,588,24,22
595,55,540,149,137,116330,dark,166.267,-3.36,233.45680555555555,588,24,22
595,55,540,149,137,116331,dark,166.267,-3.36,233.45680555555555,588,24,22
838,291,547,271,271,116332,bright,175.94,34.686,209.55274305555557,400,110,110
682,180,502,57,57,116333,bright,182.54,30.011,233.50436342592593,395,56,56
576,56,520,124,110,116334,dark,175.835,-0.881,216.54163194444445,874,24,10
576,56,520,124,110,116335,dark,175.835,-0.881,216.54163194444445,874,24,10
566,47,519,121,116,116336,dark,191.365,-7.419,233.53913194444445,743,22,17
598,97,501,191,188,116337,bright,193.301,-7.333,233.55341435185184,383,110,107
655,221,434,221,220,116416,bright,9.154,2.687,233.0779861111111,373,81,80
626,193,433,40,40,116417,bright,6.986,0.148,234.07230324074075,365,38,38
741,232,509,326,326,116418,bright,11.299,5.248,234.08005787037038,306,113,113
618,86,532,541,435,116419,dark,18.379,6.194,234.08709490740742,427,100,95
