tile_nsky,tile_nsky_goodfiber,tile_nsky_badfiber,tile_nlowp,tile_nverylowp,expid,tile_program,tile_ra,tile_dec,tile_days,tile_nsecondary,tile_nsecondary_lowpinit,tile_nsecondary_verylowpinit
1678,892,786,3298,3298,216969,backup,14.282,0.917,964.0573148148148,0,0,0
814,248,566,654,652,216970,bright,11.724,-8.31,964.0660995370371,475,200,198
769,253,516,69,69,216971,bright,13.468,-15.235,188.21459490740742,389,68,68
784,209,575,518,518,216972,bright,16.252,-12.006,964.0908217592593,428,174,174
636,31,605,648,519,216973,dark,15.391,-11.756,964.0995138888889,447,173,167
561,69,492,159,145,216974,dark,20.908,-15.675,964.1210069444444,784,36,35
566,65,501,214,192,216975,dark,24.32,-16.273,964.1339236111111,580,57,55
553,83,470,390,337,216976,dark,29.472,-14.89,964.1471759259259,597,124,121
549,57,492,831,689,216977,dark,33.376,-14.96,964.1630555555555,619,242,234
546,59,487,425,362,216978,dark,36.781,-15.555,964.1754398148148,588,124,119
615,67,548,995,807,216979,dark,43.388,-10.934,962.2103819444444,629,238,231
572,75,497,759,644,216980,dark,43.094,-14.198,964.1932175925926,586,192,186
607,68,539,814,692,216981,dark,51.763,-11.91,964.2062152777778,587,229,225
561,51,510,932,770,216982,dark,55.682,-13.987,964.2197800925926,602,267,266
597,64,533,815,662,216983,dark,111.496,41.766,964.2326736111111,549,252,248
639,77,562,1244,1003,216984,dark,117.649,37.092,964.2464930555556,606,319,312
638,57,581,872,690,216985,dark,122.751,34.663,964.259375,513,221,215
659,70,589,573,479,216986,dark,129.002,28.687,964.278425925926,498,191,186
631,49,582,1019,825,216987,dark,130.035,24.229,964.2922569444445,578,296,288
646,68,578,388,325,216988,dark,134.423,22.426,964.3061342592592,486,90,88
630,52,578,926,750,216989,dark,136.943,17.497,964.3245138888889,561,274,262
627,47,580,212,195,216990,dark,140.573,26.421,964.343761574074,444,45,45
680,64,616,227,203,216991,dark,147.527,35.945,964.3529513888889,490,58,57
730,127,603,451,451,216992,bright,135.074,20.327,964.3579398148148,380,160,160
816,36,780,4154,4154,216993,backup,124.382,8.322,915.4689814814815,0,0,0
1185,403,782,3786,3786,216994,backup,134.971,23.682,942.4170717592592,0,0,0
1288,507,781,3683,3683,216995,backup,136.847,26.555,942.4254513888889,0,0,0
908,300,608,1150,1150,217009,bright,167.545,50.022,964.4371412037037,468,247,247
654,49,605,160,150,217010,dark,167.545,50.022,964.4424189814815,553,27,27
670,56,614,186,166,217011,dark,168.148,46.709,964.4475810185185,547,41,40
668,47,621,167,157,217012,dark,172.258,48.706,964.460949074074,531,43,39
681,56,625,234,201,217013,dark,177.186,50.909,964.4738078703704,460,52,47
688,49,639,152,137,217014,dark,181.336,53.742,964.4874074074074,742,39,29
703,59,644,162,147,217015,dark,185.523,51.574,964.5034837962963,632,34,31
677,47,630,141,131,217016,dark,189.476,49.165,964.5185300925926,685,28,24
657,44,613,149,140,217017,dark,193.815,50.968,964.5323726851852,616,24,22
856,239,617,981,979,217018,bright,195.821,47.837,964.5483333333333,365,183,183
889,280,609,1138,1136,217019,bright,187.842,49.879,964.5546064814815,497,244,244
783,195,588,905,905,217020,bright,204.911,66.259,964.560925925926,389,224,224
1736,956,780,3234,3234,217617,backup,39.426,-26.422,952.14625,0,0,0
1844,1056,788,3131,3128,217618,backup,34.508,-16.942,967.1149537037037,3,3,0
770,276,494,1131,1129,217619,bright,26.759,-6.64,967.1242245370371,515,273,273
1415,636,779,3543,3543,217620,backup,49.838,5.986,862.4339004629629,0,0,0
1213,487,726,3755,3755,217621,backup,56.45,5.083,486.45954861111113,0,0,0
810,208,602,650,648,217622,bright,31.26,11.449,967.1553009259259,316,135,133
1162,429,733,3786,3786,217623,backup,61.618,0.103,486.4925694444444,0,0,0
1072,343,729,3899,3899,217624,backup,62.557,3.306,486.48429398148147,0,0,0
834,222,612,1072,1071,217625,bright,35.783,7.832,967.1807638888889,365,232,231
781,188,593,597,596,217626,bright,38.741,11.055,967.1964930555556,318,128,127
781,175,606,466,466,217627,bright,39.308,16.435,967.213738425926,284,115,115
831,298,533,1376,1374,217628,bright,48.794,-13.706,967.228136574074,473,299,299
863,311,552,991,990,217629,bright,43.388,-10.934,967.2424305555555,450,221,220
632,55,577,309,309,217630,bright,121.061,38.886,967.2601388888888,344,119,119
644,44,600,489,399,217631,dark,129.069,32.238,967.2699305555556,491,146,144
644,44,600,489,399,217632,dark,129.069,32.238,967.2699305555556,491,146,144
627,47,580,212,195,217633,dark,140.573,26.421,964.343761574074,444,45,45
627,47,580,212,195,217634,dark,140.573,26.421,964.343761574074,444,45,45
673,57,616,891,747,217635,dark,140.942,15.319,967.3219444444444,530,275,274
673,57,616,891,747,217636,dark,140.942,15.319,967.3219444444444,530,275,274
673,57,616,891,747,217637,dark,140.942,15.319,967.3219444444444,530,275,274
668,51,617,856,691,217638,dark,151.514,17.487,967.3629513888889,515,238,233
668,51,617,856,691,217639,dark,151.514,17.487,967.3629513888889,515,238,233
674,56,618,842,658,217640,dark,161.307,12.164,967.3970138888889,524,268,231
674,56,618,842,658,217641,dark,161.307,12.164,967.3970138888889,524,268,231
642,44,598,506,419,217642,dark,171.129,11.627,967.4327777777778,409,135,127
642,44,598,506,419,217643,dark,171.129,11.627,967.4327777777778,409,135,127
636,51,585,557,435,217644,dark,179.174,13.2,967.4676041666667,441,162,152
636,51,585,557,435,217645,dark,179.174,13.2,967.4676041666667,441,162,152
